"river name","area","nodes"
"Sungai.Muturi",2032.77994466,305
"Yakati",627.741185975,90
"Sungai.Wiru",2096.94188473,230
"Sermowai",1028.94340475,78
"Sentani",4345.74303475,397
"Sungai.Bedidi",2669.98742957,329
"Pual",2670.40867179,306
"Lengguru",1509.30707479,231
"Paniai",4557.69740221,947
"Sungai.Kamora",2336.63443214,483
"Sungai.Aikwa",2264.59657856,452
"Sungai.Aiduna",1092.52682201,277
"Setekwa",1547.26521216,388
"Atimet",1586.20543873,366
"Gogol",2076.61825897,356
"Cidurian",842.961628191,141
"Turama",4026.48065893,979
"Cimaja",253.36567646,14
"Maro",8066.07292605,948
"Sungai.Kumbe",4247.81770569,467
"Morehead",5541.32705525,497
"Bensbach",3328.82823395,320
"Laloki",5349.74619228,760
"Woomera.creek",272.259598578,12
"Jardine",2723.61744959,351
"Andranangoo",513.196878239,51
"Jackson",1602.2928021,153
"Takamprimili",248.526486864,26
"Ducie",3089.8067639,239
"Goomadeer",2458.81504032,211
"Cooper.creek",2257.44982802,210
"Blyth",7705.98131363,471
"Wenlock",7385.82943132,706
"East.Alligator",7691.79602048,686
"Darbilla.creek",818.138292056,39
"Liverpool",8448.07369291,562
"Adelaide",7329.22589868,584
"West.Alligator",1365.23036885,110
"Glyde",10376.7765095,623
"Sampan.creek",8098.55094326,494
"Giddy",268.997702073,20
"Wildman",2483.94087306,196
"Howard",375.973465367,29
"Pascoe",2015.66486975,205
"Elizabeth",257.809210705,27
"Embley",2083.42980546,98
"Blackmore",749.442940764,74
"Koolatong",2423.86626025,60
"Finniss",2614.53977316,250
"Archer",15534.2367112,901
"Reynolds",1863.89961812,150
"Walker.Aus",2277.4327724,130
"Stewart.1",1681.97375354,34
"Holroyd",10053.0689947,661
"Drysdale",15803.8948929,728
"King.George",2874.13383899,144
"Moyle",3385.49828595,217
"King.Edward",8450.25121064,451
"Normanby",24145.3978476,791
"Fitzmaurice",8049.12548093,320
"Mitchell",2945.23737264,191
"Gurrbirri.creek",234.921778479,16
"Lawley",633.688714778,44
"Jeannie",481.134103239,36
"Mcivor",508.821359521,44
"Limmen.Bight",15660.9910667,711
"Keep",5207.12280421,220
"Endeavour",955.247990452,96
"Sandy.creek",1242.5571294,56
"Prince.Regent",3136.12522877,128
"Annan.Aus",1095.84771759,89
"McArthur",19492.4977891,791
"Bloomfield",416.749616455,46
"Daintree",1299.29447981,137
"Robinson",5675.96765844,244
"Wearyan",3730.72838774,173
"Calvert",8038.10248451,399
"Isdell",5507.36760135,264
"Settlement.creek",3927.48731805,158
"May",14096.239403,467
"Barron",2183.49152079,166
"Trinity.Inlet",263.803640325,14
"Mulgrave",1386.46026171,220
"South.Johnstone",1637.18451464,232
"Herbert",8894.32742535,567
"Tully.Murray",1503.67547497,208
"Alice",305.970521395,14
"Ross",1019.11244291,50
"Haughton",2166.0334878,102
"Don",1889.27212102,52
"Elliot",329.342142405,16
"Turner",4919.93036328,164
"Sherlock",7326.64669407,263
"Pioneer",1560.78982366,95
"Sandy.creek.2",468.859083469,26
"Waverley.creek",523.920901688,26
"Styx",1064.05085984,38
"Herbert.creek",1128.95576005,54
"Water.Park.creek",437.808425921,26
"Raglan.creek",1310.05030282,32
"Baffle.creek",2527.05689034,123
"Broadwater.creek",292.262025181,18
"Kolan",2750.65065491,129
"Elliott",339.157966516,16
"Gregory",939.095272714,38
"Isis",1382.68714924,76
"Mary",9442.20432056,405
"Maroochy",541.92284722,24
"Logan",3835.57660148,178
"Richmond",6864.98803921,308
"Macleay",11372.619942,507
"Bellinger",1140.83310584,38
"Nambucca",1308.51681275,53
"Hastings",3638.71316764,202
"Manning",8127.73214351,342
"Hunter",21500.9785243,951
"Myall.Crawford",951.402855728,44
"Murray",11197.0796386,645
"Hawkesbury",21256.4604952,957
"Lake.Macquarie",865.700150782,16
"Wyong",643.865664139,24
"Collie",4910.65765489,300
"Capel",727.431922459,35
"Ludlow",661.813645813,50
"Vasse",471.362061893,18
"Margaret",447.93345485,34
"Frankland",4783.73454646,236
"Georges",933.897671162,42
"Warren",4365.40732694,250
"Donnelly",1538.10235809,96
"Scott",705.550144972,60
"Kent",1909.54076773,108
"Kalgan",2568.66985004,136
"Deep.Aus",1033.89199783,70
"Shannon.Aus",859.360178762,57
"Hay.1",1424.37680698,73
"Gardner",519.116222145,40
"Shoalhaven",7073.62024867,326
"Denmark",783.129371892,30
"King.1",421.701305084,22
"Bow",298.910800183,22
"Marbelup.Brook",312.412076923,15
"Onkaparinga",551.284428775,34
"Clyde.Aus",1732.62640186,82
"Snowy",15041.9491127,696
"Tuross",1815.04787083,88
"Bega.2",1961.15028256,98
"Mitchell.Victoria",8673.42414582,233
"Glenelg",12160.4729896,587
"East.Gippsland",1973.02817862,96
"La.Trobe",9034.35013734,418
"Maribyrnong",1580.73489228,65
"Hopkins",8757.95786755,227
"Bemm",1108.73359905,38
"Yarra",3886.7164656,190
"Werribee",1454.36784662,68
"Lake.Frome",488.845893214,24
"Barwon",5052.18284467,218
"Avon.Aus",2465.3524918,91
"Wombat.creek",430.666018574,10
"Paterson",778.889116503,38
"Fitzroy",1422.94298697,66
"Eumeralla",904.640747725,44
"Tarago",1244.84568674,34
"Merri",1066.63618299,44
"Surrey",363.20601985,12
"Lang.Lang",554.920918908,18
"Thompson.creek",308.093109332,16
"Curdies",1032.19768119,54
"Tarwin",1592.92663333,89
"Tarra",306.173395184,14
"Gellibrand",1088.4099249,59
"Jack",393.615725941,16
"Duck",387.426525211,38
"Ringarooma",1194.70564594,58
"Little.Forester",345.732376793,19
"Hurst.creek",255.984752016,10
"Great.Forester",540.416587854,38
"Pipers",456.432107968,29
"Ansons",259.67545383,12
"Arthur",2475.0156073,288
"Cam",248.671291755,28
"Tamar",11206.0830578,542
"Rubicon",742.655564243,28
"Mersey",1786.23682167,184
"Aa",1200.36462627,40
"Agly",1125.20068208,68
"Aksu",7738.137846,353
"Aksu.North",900.762484278,62
"Aliakmon",6614.68628137,326
"Anzali",3934.49668245,104
"Argens",2762.56902861,201
"Aude",5283.13640882,352
"Avon.Eng",2248.20619815,167
"Avon.Moors",2986.35936333,223
"Babol",2163.299555,46
"Bakir.Cayi",3361.97928442,168
"Bartin",2940.76041179,137
"Biga",2130.2940991,112
"Bolaman",1232.75121609,68
"Bollin",2390.64880441,224
"Buyuktchekmedje",634.695670306,35
"Bzipi",1546.8934532,181
"Ceyhan",12054.1873146,351
"Couesnon",1115.44650488,91
"Dane",1564.13364422,127
"Derwent.UK",10858.6506353,494
"Devrekani.Cayi",247.397670217,16
"Dives",1763.11076778,148
"Dogankent.Cayi",3326.30144056,180
"Ems",12369.7894705,711
"Filiouri",1833.02415559,80
"Firtina",1155.36288296,106
"Gediz",16791.2363571,851
"Gharasu",1535.54164595,73
"Glen",1733.08003982,76
"Goksu",11213.9530005,541
"Gonen",2063.99669089,112
"Gorgan",11593.8347205,545
"Gudenaa",2741.65725206,202
"Helge.a",4600.73977243,257
"Herault",2796.57467404,213
"Hoje.a",362.45607783,14
"Ijser",1332.98470496,90
"Iznik",1306.66785941,82
"Jalle.Blanquefort",733.26860107,45
"Jucar",21676.397706,956
"Karamenderes",2003.26452239,105
"Kavlingean",1149.51357449,72
"Keuprotchay",2659.45056984,157
"Khobi",583.24407491,22
"Kodori",1945.04515368,154
"Kucukmenderes",4093.56236081,186
"Kunda",506.60407927,22
"Laita",1004.80306086,103
"Lamas.Cayi",841.224951412,42
"Lay",2086.30436829,149
"Lez",597.599806398,26
"Loobu",334.145516884,16
"Loudias",5551.57371186,161
"Melet.Cayi",2009.00604458,128
"Natanebi",672.866467538,75
"Nene",2274.51690998,110
"Nestos",6216.85699063,280
"Orb",1570.64674277,137
"Orne",2944.81682529,220
"Ouse",8214.18346582,398
"Oymapinar",2669.85688864,84
"Parnu",5946.87688129,290
"Pol.e.Rud",1673.52111935,110
"Rance",1029.07977967,80
"Ribble",1907.70214653,209
"Rihios",2088.95223558,96
"Riva",848.298194123,50
"Sarbad",1742.5429439,78
"Schelde",18961.0417712,940
"Sevre.Niortaise",3583.98025085,236
"Skjern.aa",2971.93435174,263
"Slupia",1774.83589914,84
"Soca",3400.57510561,348
"Somme",6209.6637001,418
"Stour",904.672013789,32
"Strymon",16826.1854089,812
"Supsa",1115.18646526,117
"Tagliamento",2946.27681289,297
"Tajan",4515.81301422,176
"Taute",1454.40357052,129
"Tees",1826.95993221,130
"Tet",1402.92003236,80
"Tonekabon",426.397017811,22
"Trent.UK",10324.0541473,742
"Tyne",2891.86001162,273
"Var",2831.30119451,233
"Veleka",1075.32868658,48
"Vidaa",1353.27372666,83
"Vilaine",10489.6590335,766
"Vire",1964.70256341,192
"Wear",1181.20211738,100
"Yenice",13354.527893,753
"Adige",14631.2088825,958
"Arno",8895.33084121,578
"Blavet",2060.10334205,211
"Brenta",4685.5785618,273
"Charente",9561.56071973,654
"Dalaman.Cayi",5425.12499521,234
"Eman",4258.66580291,186
"Enguri",3277.43680411,349
"Haraz",4033.62522569,189
"Heleh",11061.0720939,490
"Kalixalven",17880.6308314,984
"Kasari",3262.89264834,164
"Koiva",9449.48841523,473
"Morrumsan",3384.30784531,174
"Neka",1875.44665449,70
