river_name,river_area,N_nodes,sim_nodes,DG,HC,HCE5,HCE10,HCR,HCRE5,HCRE10,BW,BWR,BWC,CL,RW,CO,EI
Buyuktchekmedje,634.695670306,35,NA,1.94285714285714,8.57305297876727,13.3134700032174,20.7126332809269,0.879732612411034,1.61353361183757,1.95034206573266,82.3714285714286,164.742857142857,0.151234416253034,0.00523982019684567,0.000184005185996288,1,2.44604839867909
Bzipi,1546.8934532,181,NA,1.98895027624309,17.8274544829422,21.1528780644578,47.9257711724442,0.739722685093791,1.55440951377087,1.7893710653216,1445.97790055249,2891.95580110507,0.430023557090025,0.00033716002463032,2.12758640736918e-06,1,2.5121512459863
Ceyhan,12054.1873146,351,NA,1.99430199430199,24.8797417358711,24.5478742983282,63.5747399608464,0.721778079543936,1.55865239112127,1.81496941070576,3877.32478632479,7754.64957264976,0.65512352331047,0.000127888656018297,4.17617928058044e-07,1,2.55232607692927
Couesnon,1115.44650488,91,NA,1.97802197802198,13.1158273126935,18.1860154928327,35.311236009024,0.781155115054662,1.57137421650448,1.8321210156396,468.758241758242,937.516483516488,0.265810891365085,0.00101023424518844,1.28539735157807e-05,1,2.4993852377488
Dane,1564.13364422,127,NA,1.98425196850394,16.2590886487503,21.8647279001169,46.1107836162303,0.780984987890551,1.56981464401874,1.85253862628226,678.338582677165,1356.67716535434,0.192177291796122,0.000702473411229081,6.56471385894125e-06,1,2.54100269795857
Derwent.UK,10858.6506353,494,NA,1.99595141700405,26.4270692782128,22.3951276431859,58.833064290298,0.687629926394613,1.5374419873686,1.75322085908046,7809.52226720648,15619.044534413,0.842234978222161,6.50150500408774e-05,1.56795920759319e-07,1,2.52900294384477
Devrekani.Cayi,247.397670217,16,NA,1.875,5.66785714285714,8.59956302459002,11.5015217221977,0.968270631064235,1.67696871814644,2.2240086189881,20.5625,41.125,0.20884627556748,0.0185261811587728,0.00146007575197874,1,2.32032987140646
Dives,1763.11076778,148,NA,1.98648648648649,16.8920913678074,21.6133446911532,46.8523843216497,0.759801079738261,1.56092530338995,1.8050916460601,969.966216216216,1939.93243243248,0.449587711701298,0.000503789373863011,4.11233107508589e-06,1,2.5492347441887
Dogankent.Cayi,3326.30144056,180,NA,1.98888888888889,18.3384080848849,22.1176093702372,50.3349681296569,0.749071054018243,1.55347810640101,1.8138268574663,1333.03888888889,2666.0777777778,0.465888179891606,0.000365794419365035,2.37113488997213e-06,1,2.53295179857532
Ems,12369.7894705,711,NA,1.9971870604782,31.3457185679223,24.7408818427904,65.5940736390763,0.689613532474711,1.55614202402971,1.79675584757337,14338.2658227848,28676.5316455734,0.842387127804944,3.53265303251876e-05,5.74332860945096e-08,1,2.57351760652139
